! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
H2                                        H2*                                                                     1436  90   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
C                                         JC                                                                      1422  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
N                                         JN                                                                      1423  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O                                         JO                                                                      1424  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH                                        JCH                                                                     1425  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2                                       JCH2                                                                    1426  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH                                        JNH                                                                     1427  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3                                       JCH3                                                                    1428  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2                                       JNH2                                                                    1429  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4                                       JCH4                                                                    1430  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH                                        JOH                                                                     1431  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3                                       JNH3                                                                    1432  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O                                       JH2O                                                                    1433  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO                                        JCO                                                                     1434  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO2                                       JCO2                                                                    1435  81   1.000e+00    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
