! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
CH2           NH2+                        CH3+          NH                                                         481  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           OH+                         O             CH3+                                                       482  20   4.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           NH3+                        NH2           CH3+                                                       483  20   9.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           CH5+                        CH4           CH3+                                                       484  20   9.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           H2O+                        OH            CH3+                                                       485  20   4.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           H3O+                        H2O           CH3+                                                       486  20   9.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           HCN+                        CN            CH3+                                                       487  20   8.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           CO+                         HCO+          CH                                                         488  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           HCNH+                       HCN           CH3+                                                       489  20   4.350e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          HCO                         CO            CH3+                                                       490  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           HCO+                        CO            CH3+                                                       491  20   8.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           HN2+                        N2            CH3+                                                       492  20   8.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          H2CO                        HCO+          CH3                                                        493  20   2.810e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          O2                          HCO+          OH                                                         494  20   9.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          S                           HCS+          H                                                          495  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           S+                          HCS+          H                                                          496  20   1.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          H2S                         H3S+          CH                                                         497  20   2.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          H2S                         HCS+          H2            H                                            498  20   2.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          H2S                         H3CS+         H                                                          499  20   1.840e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2           SiO+                        H2CO          Si+                                                        500  20   8.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          OCS                         HCS+          HCO                                                        501  20   1.080e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH2+          OCS                         H2CS+         CO                                                         502  20   7.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           NH                          NH2+          N                                                          503  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            CH3+                        HCNH+         H2                                                         504  20   7.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           O                           OH+           N                                                          505  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            O+                          NO+           H                                                          506  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           NH2                         NH3+          N                                                          507  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            NH2+                        NH3+          N                                                          508  20   7.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           OH                          H2O+          N                                                          509  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            OH+                         NH2+          O                                                          510  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            CH5+                        CH4           NH2+                                                       511  20   7.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           H2O                         NH3+          O                                                          512  20   1.750e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           H2O                         H3O+          N                                                          513  20   1.050e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            H2O+                        H3O+          N                                                          514  20   7.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           H2O                         OH            NH2+                                                       515  20   8.750e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           CN                          HCN+          N                                                          516  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           HCN                         HCNH+         N                                                          517  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            HCN+                        CN            NH2+                                                       518  20   6.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           CO                          HCO+          N                                                          519  20   4.410e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            CO+                         HCO+          N                                                          520  20   3.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           N2                          HN2+          N                                                          521  20   6.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            HCO+                        CO            NH2+                                                       522  20   6.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH            HN2+                        N2            NH2+                                                       523  20   6.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           NO                          HN2+          O                                                          524  20   1.780e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           H2CO                        HCO+          NH2                                                        525  20   1.820e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           O2                          NO+           OH                                                         526  20   2.050e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           S                           HS+           N                                                          527  20   6.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH+           CO2                         NO+           HCO                                                        528  20   3.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          O                           HCO+          H2                                                         529  20   4.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          HCO                         CO            CH4+                                                       530  20   4.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          H2CO                        HCO+          CH4                                                        531  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3           S+                          H2CS+         H                                                          532  20   1.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          S                           HCS+          H2                                                         533  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          HS                          H2CS+         H2                                                         534  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          H2S                         H3CS+         H2                                                         535  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          SO                          HOCS+         H2                                                         536  20   9.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH3+          OCS                         H3CS+         CO                                                         537  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            CH4                         OH            CH3+                                                       538  20   1.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CH4+                        OH            CH3+                                                       539  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            OH                          O2+           H                                                          540  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             OH+                         O2+           H                                                          541  20   7.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CH5+                        H3O+          CH2                                                        542  20   2.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             H2O+                        O2+           H2                                                         543  20   4.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            CN                          NO+           C                                                          544  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            HCN                         NO+           CH                                                         545  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    5.565e+03  ---------
O+            HCN                         HCO+          N                                                          546  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    5.650e+02  ---------
O+            N2                          NO+           N                                                          547  20   1.200e-12    0.000e+00    0.000e+00    2.230e+02    4.100e+04  ---------
O+            N2                          NO+           N                                                          548  20   2.160e-12   -8.600e-01    0.000e+00    0.000e+00   -2.230e+02  ---------
O+            HCO                         CO            OH+                                                        549  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             HN2+                        N2            OH+                                                        550  20   1.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             SiH+                        SiO+          H                                                          551  20   4.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            H2CO                        HCO+          OH                                                         552  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             SiH2+                       SiOH+         H                                                          553  20   6.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             HS+                         S+            OH                                                         554  20   2.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             HS+                         SO+           H                                                          555  20   2.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            H2S                         HS+           OH                                                         556  20   4.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             H2S+                        HS+           OH                                                         557  20   3.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            H2S                         S+            H2O                                                        558  20   2.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             H2S+                        SO+           H2                                                         559  20   3.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            CO2                         O2+           CO                                                         560  20   9.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CO2+                        O2+           CO                                                         561  20   1.640e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             CS+                         S             CO+                                                        562  20   6.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             SiO+                        O2            Si+                                                        563  20   2.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             HCS+                        S             HCO+                                                       564  20   5.000e-12    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O             HCS+                        OCS+          H                                                          565  20   5.000e-12    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            OCS                         CO2           S+                                                         566  20   2.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O+            SO2                         SO+           O2                                                         567  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          NH2                         NH3+          NH                                                         568  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           OH+                         NH3+          O                                                          569  20   5.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           CH5+                        NH3+          CH4                                                        570  20   9.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2O                         NH3+          OH                                                         571  20   1.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2O                         H3O+          NH                                                         572  20   2.760e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           H2O+                        NH3+          OH                                                         573  20   4.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           H3O+                        H2O           NH3+                                                       574  20   9.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          HCN                         HCNH+         NH                                                         575  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           HCN+                        CN            NH3+                                                       576  20   9.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           CO+                         HCO+          NH                                                         577  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           HCNH+                       HCN           NH3+                                                       578  20   4.450e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           HCO+                        CO            NH3+                                                       579  20   8.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2           HN2+                        N2            NH3+                                                       580  20   8.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2CO                        HCO           NH3+                                                       581  20   5.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          S                           HS+           NH                                                         582  20   4.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2S                         HS+           NH3                                                        583  20   1.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2S                         HS            NH3+                                                       584  20   4.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH2+          H2S                         H3S+          NH                                                         585  20   2.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          CH4                         CH5+          CH3                                                        586  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           OH+                         CH5+          O                                                          587  20   1.950e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           OH+                         H3O+          CH2                                                        588  20   1.310e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          H2O                         H3O+          CH3                                                        589  20   2.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           H2O+                        H3O+          CH3                                                        590  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           HCN+                        HCNH+         CH3                                                        591  20   1.040e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          CO                          HCO+          CH3                                                        592  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           CO+                         HCO+          CH3                                                        593  20   4.550e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           HN2+                        N2            CH5+                                                       594  20   8.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           S+                          HCS+          H2            H                                            595  20   2.000e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           S+                          H3CS+         H                                                          596  20   3.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           HS+                         H3CS+         H2                                                         597  20   2.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          H2S                         H3S+          CH3                                                        598  20   1.160e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4           CS+                         HCS+          CH3                                                        599  20   5.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH4+          OCS                         HOCS+         CH3                                                        600  20   9.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           OH                          H2O+          O                                                          601  20   7.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            CH5+                        H2O+          CH4                                                        602  20   7.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           H2O                         H3O+          O                                                          603  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            H2O+                        H3O+          O                                                          604  20   6.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           CN                          HCN+          O                                                          605  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           HCN                         HCNH+         O                                                          606  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            HCN+                        CN            H2O+                                                       607  20   6.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           CO                          HCO+          O                                                          608  20   1.050e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            CO+                         HCO+          O                                                          609  20   3.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           N2                          HN2+          O                                                          610  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            Si+                         SiO+          H                                                          611  20   6.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           Si                          SiH+          O                                                          612  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           HCO                         CO            H2O+                                                       613  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            HCO+                        CO            H2O+                                                       614  20   6.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            HN2+                        N2            H2O+                                                       615  20   6.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           SiH                         SiH2+         O                                                          616  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           S                           HS+           O                                                          617  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           S                           SO+           H                                                          618  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH            S+                          SO+           H                                                          619  20   6.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           H2S                         H3S+          O                                                          620  20   8.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
OH+           SiO                         SiOH+         O                                                          621  20   9.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           HCN+                        HCNH+         NH2                                                        622  20   8.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
NH3           CO+                         HCO+          NH2                                                        623  20   4.080e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          H2O                         H3O+          CH4                                                        624  20   3.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          Mg                          Mg+           CH4           H                                            625  20   1.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          HCN                         HCNH+         CH4                                                        626  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          CO                          HCO+          CH4                                                        627  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          S                           HS+           CH4                                                        628  20   1.300e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CH5+          H2S                         H3S+          CH4                                                        629  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          H2O                         H3O+          OH                                                         630  20   2.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           CN+                         HCN+          OH                                                         631  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           CN+                         HCO+          NH                                                         632  20   1.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          HCN                         HCNH+         OH                                                         633  20   2.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HCN+                        CN            H3O+                                                       634  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          CO                          HCO+          OH                                                         635  20   5.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           CO+                         HCO+          OH                                                         636  20   8.840e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           Si+                         SiOH+         H                                                          637  20   2.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          HCO                         CO            H3O+                                                       638  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HCO+                        CO            H3O+                                                       639  20   2.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HN2+                        N2            H3O+                                                       640  20   2.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           SiH+                        Si            H3O+                                                       641  20   8.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          S                           HS+           OH                                                         642  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          S                           HSO+          H                                                          643  20   4.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HS+                         S             H3O+                                                       644  20   7.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          H2S                         HS            H3O+                                                       645  20   5.400e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           H2S+                        HS            H3O+                                                       646  20   8.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          H2S                         H3S+          OH                                                         647  20   7.740e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HOCS+                       H3O+          OCS                                                        648  20   3.400e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O+          SO2                         HSO2+         OH                                                         649  20   2.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2O           HSO2+                       SO2           H3O+                                                       650  20   2.130e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          HCN                         HCNH+         H2O                                                        651  20   3.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          Si                          SiH+          H2O                                                        652  20   1.800e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          SiH                         SiH2+         H2O                                                        653  20   9.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          H2S                         H3S+          H2O                                                        654  20   1.900e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          CS                          HCS+          H2O                                                        655  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H3O+          SiO                         SiOH+         H2O                                                        656  20   2.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           HCO                         CO            HCN+                                                       657  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           H2CO                        HCO+          HCN                                                        658  20   5.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CN+           O2                          NO+           CO                                                         659  20   8.600e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          HCN                         HCNH+         CN                                                         660  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          CO                          HCO+          CN                                                         661  20   1.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          HCO                         HCNH+         CO                                                         662  20   3.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN           HCO+                        HCNH+         CO                                                         663  20   3.100e-09    0.000e+00    0.000e+00    0.000e+00    5.650e+02  ---------
HCN           HN2+                        HCNH+         N2                                                         664  20   3.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN+          S                           HS+           CN                                                         665  20   5.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN           HS+                         S             HCNH+                                                      666  20   8.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCN           H3S+                        H2S           HCNH+                                                      667  20   1.500e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO            HN2+                        HCO+          N2                                                         668  20   8.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           H2CO                        HCO+          HCO                                                        669  20   1.650e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           H2S                         HS            HCO+                                                       670  20   1.560e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO            SiO+                        CO2           Si+                                                        671  20   7.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO+           SO2                         SO+           CO2                                                        672  20   1.700e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
CO            SO2+                        SO+           CO2                                                        673  20   3.000e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCNH+         H2S                         H3S+          HCN                                                        674  20   1.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
Si            HCO+                        SiH+          CO                                                         675  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          SiH                         SiH2+         CO                                                         676  20   8.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          S                           HS+           CO                                                         677  20   3.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO           S+                          HS+           CO                                                         678  20   3.600e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          HS                          H2S+          CO                                                         679  20   8.200e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          H2S                         H3S+          CO                                                         680  20   1.600e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          CS                          HCS+          CO                                                         681  20   1.200e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          SiO                         SiOH+         CO                                                         682  20   7.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          H2CS                        H3CS+         CO                                                         683  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          SO                          HSO+          CO                                                         684  20   7.500e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HCO+          OCS                         HOCS+         CO                                                         685  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HN2+          S                           HS+           N2                                                         686  20   1.100e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2CO          O2+                         O2            HCO+          H                                            687  20   2.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2CO          S+                          HS            HCO+                                                       688  20   3.350e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
H2CO          S+                          H2S+          CO                                                         689  20   3.350e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
SiH2+         O2                          SiOH+         OH                                                         690  20   2.400e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2            S+                          SO+           O                                                          691  20   1.500e-11    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2+           S                           SO+           O                                                          692  20   5.400e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
O2            CS+                         OCS+          O                                                          693  20   1.300e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S+            H2S                         S2+           H2                                                         694  20   5.900e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S+            H2S                         HS2+          H                                                          695  20   1.890e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S             SiO+                        SO            Si+                                                        696  20   1.000e-09    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
S+            OCS                         S2+           CO                                                         697  20   9.100e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HS+           H2S                         H3S+          S                                                          698  20   4.700e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
HS+           H2S                         HS2+          H2                                                         699  20   2.800e-10    0.000e+00    0.000e+00    0.000e+00    4.100e+04  ---------
